feature,importance,std,gini
vol_ratio_60_240,0.06867224239538063,0.0014638578227112616,0.25971338305596925
vol_60m,0.06605303887136134,0.0011856772463557483,0.37420417709565895
atr_pct,0.013162985892017337,0.0009696919442663315,0.19856835734012318
return_skew_60m,0.0014956247395677552,0.00023892187567715623,0.007886093183798378
cum_return_60m,0.001294719923804949,0.0003118091380403257,0.016322736845807796
log_return,0.000669682719209419,0.00015393893137668726,0.00483723342436735
bb_width,0.0005729507708791826,0.0006465897534656992,0.08991263893113693
volume_spike,0.0005208643371628768,0.00020993416244516013,0.003736475060548169
rsi,0.0004018096315256403,0.00018527739148148188,0.00377161431969997
vol_240m,0.00017858205845580621,0.00029912124594084507,0.041047290742890076
