regime,duration_hours
0,15
0,187
0,56
0,8
0,7
0,126
0,2
0,5
0,118
0,4
0,38
0,19
0,9
0,31
0,40
0,25
0,22
0,4
0,1
0,22
0,6
0,2
0,13
0,4
0,1
0,63
0,1
0,16
0,94
0,20
0,20
0,2
0,58
0,1
0,1
0,3
0,20
0,17
0,2
0,19
0,11
0,2
0,2
0,11
0,9
0,3
0,153
0,8
0,76
0,16
0,37
0,78
0,24
0,62
0,5
0,11
0,22
0,2
0,30
0,77
0,39
0,1
0,1
0,168
0,171
0,68
0,11
0,8
0,20
0,70
0,10
0,139
0,1
0,99
0,14
0,3
0,71
0,36
0,2
0,14
0,31
0,11
0,43
0,64
0,6
0,43
0,116
0,18
0,2
0,40
0,3
0,18
0,1
0,44
0,5
0,17
0,2
0,7
0,10
0,1
0,61
0,44
0,16
0,2
0,4
0,7
0,70
0,15
0,65
0,82
0,33
0,26
0,59
0,10
0,3
0,3
0,4
0,32
0,23
0,34
0,2
0,134
0,1
0,22
0,80
0,161
0,39
0,1
0,77
0,12
0,2
0,63
0,8
0,60
0,2
0,6
0,5
0,132
0,47
0,42
0,57
0,3
0,34
0,23
0,18
0,71
0,69
0,1
0,3
0,1
0,65
0,4
0,1
0,2
0,30
0,1
0,39
0,54
0,4
0,1
0,3
0,128
0,23
0,79
0,4
0,10
0,25
0,75
0,15
0,11
0,23
0,1
0,21
0,24
0,8
0,34
0,30
0,3
0,67
0,3
0,135
0,4
0,67
0,1
0,20
0,34
0,5
0,49
0,37
0,56
0,7
0,4
0,25
0,87
0,2
0,53
0,6
0,111
0,97
0,22
0,77
0,65
0,24
0,1
0,4
0,2
0,1
0,1
0,33
0,19
0,2
0,6
0,42
0,39
0,99
0,198
0,75
0,15
0,10
0,37
0,3
0,2
0,14
0,18
0,216
0,9
0,6
0,2
0,1
0,300
0,14
0,2
0,10
0,30
0,43
0,1
0,2
0,141
0,5
0,28
0,19
0,129
0,167
0,5
0,82
0,73
0,88
0,109
0,4
0,388
0,77
0,11
0,50
0,296
0,45
0,59
0,132
0,22
0,2
0,1
0,53
0,5
0,99
0,71
0,29
0,24
0,83
0,4
0,88
0,57
0,396
0,175
0,97
0,79
0,2
0,3
0,44
0,20
0,8
0,96
0,16
0,1
0,29
0,52
0,168
0,1
0,9
0,76
0,10
0,3
0,3
0,83
0,72
0,1
0,2
0,9
0,2
0,55
0,7
0,4
0,18
0,12
0,72
0,23
0,40
0,57
0,7
0,47
0,37
0,8
0,10
0,21
0,39
0,7
0,64
0,2
0,23
0,149
0,4
0,2
0,44
0,8
0,47
0,9
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,2
1,1
1,1
1,1
1,1
1,1
2,1
2,2
2,16
2,14
2,11
2,23
2,11
2,7
2,10
2,25
2,61
2,62
2,22
2,7
2,24
2,7
2,60
2,3
2,1
2,60
2,5
2,6
2,1
2,16
2,13
2,18
2,43
2,8
2,16
2,4
2,1
2,1
2,4
2,21
2,10
2,15
2,52
2,5
2,17
2,11
2,11
2,28
2,2
2,4
2,21
2,37
2,29
2,4
2,3
2,1
2,5
2,19
2,2
2,23
2,14
2,2
2,5
2,11
2,15
2,30
2,11
2,4
2,1
2,4
2,35
2,1
2,24
2,29
2,1
2,37
2,2
2,2
2,19
2,2
2,14
2,2
2,3
2,1
2,19
2,1
2,27
2,23
2,23
2,2
2,9
2,47
2,4
2,1
2,19
2,8
2,4
2,11
2,1
2,3
2,31
2,9
2,17
2,31
2,8
2,13
2,20
2,8
2,1
2,6
2,23
2,6
2,7
2,10
2,21
2,4
2,38
2,11
2,7
2,3
2,13
2,1
2,2
2,5
2,17
2,16
2,2
2,1
2,3
2,17
2,10
2,12
2,17
2,30
2,32
2,44
2,24
2,16
2,18
2,13
2,3
2,3
2,1
2,8
2,11
2,5
2,28
2,12
2,3
2,5
2,7
2,16
2,1
2,35
2,7
2,1
2,2
2,12
2,5
2,18
2,45
2,3
2,14
2,7
2,1
2,29
2,23
2,25
2,42
2,5
2,26
2,1
2,1
2,8
2,6
2,7
2,44
2,4
2,17
2,29
2,2
2,10
2,1
2,13
2,41
2,2
2,24
2,9
2,7
2,30
2,73
2,22
2,25
2,35
2,1
2,1
2,1
2,1
2,6
2,15
2,12
2,4
2,40
2,1
2,5
2,4
2,14
2,8
2,33
2,18
2,41
2,10
2,15
2,31
2,2
2,1
2,15
2,2
2,14
2,17
2,3
2,8
2,2
2,4
2,25
2,5
2,1
2,4
2,5
2,21
2,25
2,16
2,15
2,1
2,27
2,4
2,23
2,24
2,24
2,2
2,4
2,13
2,10
2,7
2,1
2,12
2,1
2,21
2,24
2,6
2,2
2,1
2,14
2,3
2,14
2,1
2,1
2,1
2,5
2,33
2,1
2,18
2,23
2,1
2,2
2,30
2,1
2,7
2,34
2,2
2,1
2,8
2,43
2,1
2,8
2,6
2,11
2,50
2,3
2,31
2,26
2,8
2,6
2,3
2,13
2,10
2,7
2,18
2,4
2,24
2,27
2,2
2,4
2,14
2,5
